word,frequency
ukraine,6448
russia,5169
says,5097
us,4370
new,4208
china,3854
u.s,3358
russian,3158
state,3017
israel,2978
world,2918
government,2875
police,2683
syria,2641
military,2599
president,2597
killed,2577
iraq,2403
people,2252
islamic,2224
isis,2204
ebola,2124
minister,2117
gaza,2103
said,2077
attack,1926
war,1885
north,1878
first,1866
south,1845
israeli,1839
two,1829
un,1805
korea,1792
iran,1791
uk,1716
putin,1716
leader,1632
india,1610
eu,1583
court,1582
forces,1552
syrian,1515
security,1482
chinese,1460
ukrainian,1433
may,1427
country,1422
death,1417
group,1405
years,1394
could,1382
news,1341
troops,1340
nuclear,1324
say,1308
one,1300
militants,1284
dead,1276
talks,1272
japan,1271
report,1244
border,1210
obama,1202
sanctions,1201
west,1189
air,1173
foreign,1170
oil,1152
rights,1151
british,1151
army,1150
palestinian,1143
calls,1133
pakistan,1129
city,1120
found,1115
deal,1113
crimea,1102
turkey,1093
year,1092
officials,1085
rebels,1082
former,1078
prime,1072
three,1063
near,1060
man,1059
pm,1033
international,1030
law,1017
bank,1005
protesters,1001
missing,998
million,986
hamas,979
attacks,973
protest,970
least,956
crisis,953
